 ,is it a fruit?,Is it commonly found on a sandwich?,Does it grow on a tree?,Does it grow underground?,Is it commonly found in pie?,Is it mostly green?,Does it grow on a bush?,Is it usually round?,Does it have seeds on the outside?
apple,1,-1,1,-1,1,0,-1,1,-1
orange,1,-1,1,-1,-1,-1,-1,1,-1
peach,1,-1,1,-1,1,-1,-1,1,-1
strawberry,1,-1,-1,-1,1,-1,1,-1,1
raspberry,1,-1,-1,-1,1,-1,1,-1,-1
carrot,-1,-1,-1,1,-1,-1,-1,-1,-1
potato,-1,-1,-1,1,-1,-1,-1,1,-1
lettuce,-1,1,-1,-1,-1,1,-1,1,-1
onion,-1,1,-1,1,-1,-1,-1,1,-1
broccoli,-1,-1,-1,-1,-1,1,1,-1,-1
